scale,metric,unit,alpha,mean,var,cvar,sample_count,tail_equivalent_count,excluded_partial_blocks,experiment,grid_limit_kw,seed,policy
hour,actual_expense,EUR/hour,0.9,0.37897512594938315,0.507,0.5069999999999999,96,9.599999999999998,0,planned_48h,2.5,42,stochastic
hour,shortage_penalty,EUR/hour,0.9,0.01661028180803571,0.0,0.1661028180803571,96,9.599999999999998,0,planned_48h,2.5,42,stochastic
hour,inventory_adjustment,EUR/hour,0.9,0.014020312500000007,0.1326315789473684,0.16867554972942606,96,9.599999999999998,0,planned_48h,2.5,42,stochastic
hour,adjusted_loss,EUR/hour,0.9,0.40960572025741887,0.6396315789473684,0.7999252268855732,96,9.599999999999998,0,planned_48h,2.5,42,stochastic
hour,ens,kWh/hour,0.9,0.0016610281808035708,0.0,0.01661028180803571,96,9.599999999999998,0,planned_48h,2.5,42,stochastic
utc_day,actual_expense,EUR/block,0.9,9.095403022785193,10.234720162479595,10.234720162479595,4,0.3999999999999999,0,planned_48h,2.5,42,stochastic
utc_day,shortage_penalty,EUR/block,0.9,0.398646763392857,1.594587053571428,1.594587053571428,4,0.3999999999999999,0,planned_48h,2.5,42,stochastic
utc_day,inventory_adjustment,EUR/block,0.9,0.33648750000000016,0.6943500000000001,0.6943500000000001,4,0.3999999999999999,0,planned_48h,2.5,42,stochastic
utc_day,adjusted_loss,EUR/block,0.9,9.830537286178052,11.829307216051024,11.829307216051024,4,0.3999999999999999,0,planned_48h,2.5,42,stochastic
utc_day,ens,kWh/block,0.9,0.0398646763392857,0.1594587053571428,0.1594587053571428,4,0.3999999999999999,0,planned_48h,2.5,42,stochastic
nonoverlapping_24h,actual_expense,EUR/block,0.9,9.095403022785193,10.234720162479595,10.234720162479595,4,0.3999999999999999,0,planned_48h,2.5,42,stochastic
nonoverlapping_24h,shortage_penalty,EUR/block,0.9,0.398646763392857,1.594587053571428,1.594587053571428,4,0.3999999999999999,0,planned_48h,2.5,42,stochastic
nonoverlapping_24h,inventory_adjustment,EUR/block,0.9,0.33648750000000016,0.6943500000000001,0.6943500000000001,4,0.3999999999999999,0,planned_48h,2.5,42,stochastic
nonoverlapping_24h,adjusted_loss,EUR/block,0.9,9.830537286178052,11.829307216051024,11.829307216051024,4,0.3999999999999999,0,planned_48h,2.5,42,stochastic
nonoverlapping_24h,ens,kWh/block,0.9,0.0398646763392857,0.1594587053571428,0.1594587053571428,4,0.3999999999999999,0,planned_48h,2.5,42,stochastic
hour,actual_expense,EUR/hour,0.9,0.3787069832013996,0.507,0.5069999999999999,96,9.599999999999998,0,planned_48h,2.5,42,cvar_0.5
