experiment,window,grid_limit_kw,seed,forecast_lead_hours,population,sample_count,mae_kw,bias_forecast_minus_actual_kw,rmse_kw,p10_p90_coverage,ensemble_range_coverage,below_ensemble_min_fraction,mean_p10_p90_width_kw
seed_repeat,winter,2.5,99,1,daylight_proxy,12,0.2844367133246527,0.22073945545014875,0.40238076153701774,0.8333333333333334,0.9166666666666666,0.08333333333333333,0.6722412109375
seed_repeat,winter,2.5,99,2,all_hours,24,0.14221835666232638,0.11036972772507438,0.2845261651018324,0.9583333333333334,1.0,0.0,0.34626116071428575
seed_repeat,winter,2.5,99,2,daylight_proxy,12,0.2844367133246527,0.22073945545014875,0.40238076153701774,0.9166666666666666,1.0,0.0,0.6925223214285715
seed_repeat,winter,2.5,99,3,all_hours,24,0.14221835666232638,0.11036972772507438,0.2845261651018324,0.9583333333333334,1.0,0.0,0.3807169596354167
seed_repeat,winter,2.5,99,3,daylight_proxy,12,0.2844367133246527,0.22073945545014875,0.40238076153701774,0.9166666666666666,1.0,0.0,0.7614339192708331
seed_repeat,winter,2.5,99,4,all_hours,24,0.14221835666232638,0.1103697277250744,0.2845261651018324,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.4013003394717261
seed_repeat,winter,2.5,99,4,daylight_proxy,12,0.2844367133246527,0.22073945545014875,0.40238076153701774,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.8026006789434522
seed_repeat,winter,2.5,99,5,all_hours,24,0.14221835666232638,0.11036972772507438,0.2845261651018324,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.36599876767113093
seed_repeat,winter,2.5,99,5,daylight_proxy,12,0.2844367133246527,0.22073945545014875,0.40238076153701774,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.731997535342262
seed_repeat,winter,2.5,99,6,all_hours,24,0.14221835666232638,0.11036972772507438,0.2845261651018324,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.39581589471726186
